loan_amnt,term,int_rate,installment,grade,home_ownership,annual_inc,verification_status,loan_status,purpose,dti,earliest_cr_line,pub_rec,revol_bal,revol_util,total_acc,mort_acc,postal_code
9000.0,0,9.17,286.92,2,3,62400.0,1,1,11,2.12,1992,0,4694.0,12.1,10.0,0.0,4
16000.0,1,12.99,363.97,3,0,68000.0,0,1,1,6.16,1999,0,14173.0,81.9,14.0,1.0,7
6000.0,0,6.99,185.24,1,2,38071.28,1,1,2,26.89,1996,1,3997.0,54.8,35.0,0.0,3
15000.0,0,8.9,476.3,1,0,82000.0,0,1,1,15.35,1984,0,14237.0,69.4,28.0,6.0,7
3000.0,0,18.25,108.84,4,3,50611.0,2,1,2,30.23,1998,0,22879.0,97.4,23.0,0.0,1
12000.0,0,10.99,392.81,2,0,80000.0,0,1,2,12.87,1994,0,9734.0,31.2,26.0,3.0,1
5000.0,0,18.75,182.65,4,3,47000.0,0,0,2,23.8,1999,0,952.0,91.2,23.0,0.0,5
20000.0,1,14.49,470.47,3,0,100000.0,1,0,1,26.52,1987,0,21323.0,49.2,18.0,2.0,5
12500.0,0,13.99,427.16,3,0,98600.0,0,1,4,13.07,1995,1,20572.0,33.0,36.0,2.0,5
18000.0,1,16.29,440.51,3,0,48015.0,2,0,2,17.59,1999,0,21484.0,58.4,41.0,2.0,5
12000.0,1,12.99,272.98,3,3,65000.0,2,1,2,11.28,2001,0,13088.0,99.2,25.0,2.0,6
20000.0,1,19.05,519.37,4,0,98800.0,2,0,2,23.06,1994,0,20236.0,86.1,27.0,6.0,9
24000.0,0,14.09,821.32,2,3,220000.0,2,1,4,12.77,2009,0,8209.0,19.4,17.0,0.0,4
19300.0,1,18.25,492.73,5,2,46000.0,2,1,4,26.04,2001,0,8099.0,29.7,16.0,0.0,7
10000.0,0,13.24,338.1,4,0,58000.0,0,1,13,10.9,2002,1,10055.0,54.9,16.0,1.8139908160844136,1
15000.0,0,11.99,498.15,2,0,50000.0,2,1,2,27.68,1994,0,9117.0,28.1,30.0,2.0,1
